,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend
,count,mean,min,max,std,median,count,mean,min,max,std,median,count,mean,min,max,std,median
page_id,,,,,,,,,,,,,,,,,,
3732040e0e5493391cc04e24b28803d3cafdef133d6a10929f0466d0afd8d0af,6,666850.6666666666,550,1000001,516114.2771133799,1000001.0,6,832.3333333333334,499,1499,516.3977794943223,499.0,6,49.0,49,49,0.0,49.0
374cd467c508107b5c97d6afb09dcc96bb11111d307ead336adb7287f01a7d1a,1,1000001.0,1000001,1000001,,1000001.0,1,3499.0,3499,3499,,3499.0,1,49.0,49,49,,49.0
376098bcf2431974675ab2ac28085e4ddadf6588348b8b36138704fe4b0d2590,3,6000.0,3000,7500,2598.076211353316,7500.0,3,3165.6666666666665,1499,4499,1527.5252316519466,3499.0,3,49.0,49,49,0.0,49.0
377ea15ec74d25859e958aae1a9a2198f4712a70a0cb3c49ef32db68c8ed942c,6,1000001.0,1000001,1000001,0.0,1000001.0,6,499.0,499,499,0.0,499.0,6,49.0,49,49,0.0,49.0
378210092053f298536fb59a72e5372a61a7b0bc198c57c92b4e19a976c24f26,2,300000.0,300000,300000,0.0,300000.0,2,121249.0,54999,187499,93691.64850721754,121249.0,2,3374.0,1249,5499,3005.203820042827,3374.0
3783ccf18c17765d36f5df639d94a17b6ce3f91f2ec886a7999c667aef35e035,1210,832360.6685950413,550,1000001,299369.4936650233,1000001.0,1210,233566.03388429753,499,1000000,318657.10291106085,74999.0,1210,3526.4793388429753,49,84999,8347.969635321178,649.0
378bc06300656d8fd04cc1fe18c524262602429b83f30740769078fed70df62c,4,750138.25,550,1000001,499725.5,1000001.0,4,3749.0,499,12499,5852.349955359813,999.0,4,49.0,49,49,0.0,49.0
378e19666e9591d2a0fc00e0e709aa013e7ae8059c077afccffaec4590731a87,13,292734.6923076923,550,1000001,241955.66078911535,300000.0,13,18614.384615384617,1499,94999,27069.473771324225,5499.0,13,87.46153846153847,49,249,65.04436355879909,49.0
37a8e38d697dd469b2b559525a290b9a4a9ff7136269478d51fb34aa1246d98d,8,6937.5,3000,7500,1590.9902576697318,7500.0,8,4249.0,1499,8499,2815.7719063467175,3499.0,8,86.5,49,249,74.40238091428449,49.0
37b48509eb84cd9e54196f56ce7e221dc90ae56b1f1280bd43e9f0374bae7fc4,3,30000.0,30000,30000,0.0,30000.0,3,3832.3333333333335,3499,4499,577.3502691896257,3499.0,3,49.0,49,49,0.0,49.0
37c40dfe5a41ff6f4b65ceda540b50f7d24125c61861c61307a154588b49c820,35,1000001.0,1000001,1000001,0.0,1000001.0,35,94270.42857142857,499,949999,214640.57997365872,4499.0,35,1737.5714285714287,49,17499,4119.842331975356,49.0
37c9dedef310c537c6fd67ff08653f43b536a950659637dd159460d5ab2530c2,2,300000.0,300000,300000,0.0,300000.0,2,56249.0,47499,64999,12374.368670764581,56249.0,2,499.0,349,649,212.13203435596427,499.0
37ce8372f57bbf62adb0a582f780e0de7fd99907f1aa5f969476e54337a899f1,2,16500.0,3000,30000,19091.883092036784,16500.0,2,499.0,499,499,0.0,499.0,2,49.0,49,49,0.0,49.0
37e2fd7c55f2a39f593dda4b060f71274ea63b4a63cb99fa4a49ec8a52dc3c28,1,550.0,550,550,,550.0,1,1499.0,1499,1499,,1499.0,1,49.0,49,49,,49.0
37fc4797be971e5a90ee8f9eda9f6c7800aac909722af940603fdd1620c14d42,4,1000001.0,1000001,1000001,0.0,1000001.0,4,24749.0,6499,47499,20902.551678363736,22499.0,4,174.0,49,349,150.0,149.0
381ed97551d3641e58f2dc8b3fb673d7fa2da2813d364cdbdbe0c1ffc1c1cb1f,1,300000.0,300000,300000,,300000.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
38233bcd2293894382f52c0a14e3dd436802ad5a6cf597c75c178036a2d88c73,13,648696.6923076923,550,1000001,435669.9219367771,1000001.0,13,270691.3846153846,6499,1000000,335509.0942442391,54999.0,13,2075.923076923077,49,12499,3443.146295215527,849.0
3841985110ba283ca44737521e4db5dc2b8d07d010f526cfb0876f653cd96de2,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
38566e91d83dd1d490b6ada3e31d8bb722a8b73e9c519d4977de92ee5678c4a6,26,226448.1923076923,550,1000001,306850.2259225526,75000.0,26,15979.76923076923,499,94999,24526.5084222075,999.0,26,295.15384615384613,49,1249,377.60378094586844,49.0
3870021f359b0d55c9eabad8424527e55c0d1e575e60fb7570dc80d322815e0f,3,766667.3333333334,300000,1000001,404145.7657830072,1000001.0,3,13165.666666666666,4499,17499,7505.553499465135,17499.0,3,82.33333333333333,49,149,57.735026918962575,49.0
38702513558299b694ccc0c5f7b49c3961fa640946be3d2353d54e7bb82d9e76,1,300000.0,300000,300000,,300000.0,1,4499.0,4499,4499,,4499.0,1,49.0,49,49,,49.0
38724eb6bca8304f8d094939013851e05f0df6da3f7be6ffd725e7ccfd63e799,1,1000001.0,1000001,1000001,,1000001.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
3887e102a1f942b54722fe0ce480f89a7ba842a66b0c0df70f42646f093313e5,30,1000001.0,1000001,1000001,0.0,1000001.0,30,47232.333333333336,499,649999,123852.22934062866,12499.0,30,837.3333333333334,49,12499,2350.0434087455715,199.0
388b2cf46102ab491b17cccd6ad4c592b6596100f3a3ab2a87692e617faa6e86,12,606250.25,75000,1000001,330998.2988836059,750000.0,12,16749.0,1499,27499,7312.815649753023,17499.0,12,240.66666666666666,49,349,108.36246694508317,249.0
38a67b7929416a5aaa2ae82a8c0ec86a8f250153acfa049a95e155b594cde696,12,3000.0,3000,3000,0.0,3000.0,12,42915.666666666664,12499,74999,21737.936396720797,42499.0,12,1015.6666666666666,249,1749,477.366513151884,1099.0
38b0ef2731461f3d786c20aec7690b958ca4fcdd83d1486e3c7f4e4aecf35f7a,9,300000.0,300000,300000,0.0,300000.0,9,13332.333333333334,499,54999,17815.021751319866,5499.0,9,137.88888888888889,49,349,126.92955176439847,49.0
38b221a303e7a7041a1311c162a2ea3c83476161a1ce063776f9d256af757f25,45,455222.5111111111,7500,1000001,411161.3801176006,300000.0,45,122299.0,499,749999,158540.58843658358,64999.0,45,2762.3333333333335,49,12499,3996.7373057168875,849.0
38f958ccb49e47c46ac6fcd988530fb7c28b063ccb1037792fe379c52be170f7,3,200183.33333333334,550,300000,172887.53810883343,300000.0,3,10165.666666666666,5499,17499,6429.100507328636,7499.0,3,182.33333333333334,149,249,57.735026918962575,149.0
390fef6602569b976a440317cf92634456e3ba5e3f36871875e25771b76dc031,14,1000001.0,1000001,1000001,0.0,1000001.0,14,570.4285714285714,499,1499,267.2612419124244,499.0,14,56.142857142857146,49,149,26.72612419124244,49.0
39147568f4fb82be9d291235c09c8a0fbaf3f00326f103527ea95fb70aaa1c22,1,300000.0,300000,300000,,300000.0,1,9499.0,9499,9499,,9499.0,1,149.0,149,149,,149.0
391c6bb014503acc48e3c4b3c9fa882c2dc9da1a072dd416287a3108ad24b9af,1,300000.0,300000,300000,,300000.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
392380f585418ee56810bd8e8744bcf814c94388d61f6670867428fcfaa4332a,1,750000.0,750000,750000,,750000.0,1,2499.0,2499,2499,,2499.0,1,49.0,49,49,,49.0
392a7f01aeea544a1b57923c46b1010a8490bcfa5cf948ac8acfb1960a417433,6,30000.0,30000,30000,0.0,30000.0,6,16499.0,9499,27499,7375.63556583431,14999.0,6,365.6666666666667,49,649,248.327740429189,349.0
3931b5bff6b158218be8250ac6ab6feed2b3720a6c02b74e8757ef521104d039,6,416666.8333333333,300000,1000001,285774.21157299454,300000.0,6,112165.66666666667,499,274999,105195.84909428065,98749.0,6,1632.3333333333333,49,4249,1600.5207485898666,1249.0
3935eeee34664b673a25edf8b4206f9bd3026adbe66fc8d046399aacd91ab93e,1493,920935.943067649,550,1000001,222370.6563782563,1000001.0,1493,4949.770261219022,499,474999,24415.467118078388,499.0,1493,213.93636972538513,49,32499,1297.5621395532826,49.0
393742a93a087836299fd1ee8bd1a60780ad9fb4188e517e5b2a00643dec65a4,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
393d512fc40c3b647e26e7535b4c3f354a9bae364a5378da981e374735c3f415,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
394f460bb4caaece6dd92d81832bed77911ae75f2046f46f782507d98e7cb04d,14,664325.6428571428,550,1000001,467721.0268051158,1000001.0,14,6427.571428571428,499,22499,7750.576015460308,1999.0,14,134.71428571428572,49,549,151.1857892036909,49.0
395702543a7f308235ca8ef135ba9ffe358373564bc54bbe2b857ac85167d07f,4,30000.0,7500,75000,31819.80515339464,18750.0,4,12749.0,1499,22499,9215.02396451939,13499.0,4,324.0,49,649,275.3785273643051,299.0
396ab91ad49de331886711141f3db1bf4e7c8a0572259732f0b9ee1c1729ce49,1,1000001.0,1000001,1000001,,1000001.0,1,37499.0,37499,37499,,37499.0,1,549.0,549,549,,549.0
397423af4671f81e87b71e1e0782136334d00e365fba4a5d52bbfc22de6d10dc,12,151500.0,3000,300000,155103.19145652678,151500.0,12,2249.0,499,12499,3545.163158189171,499.0,12,65.66666666666667,49,149,38.92494720807615,49.0
399054c310ed0ab06e4c0c6c1038860b006852e340dc1c27d7f8d094287f3bf8,2,875000.5,750000,1000001,176777.40240341806,875000.5,2,19999.0,17499,22499,3535.5339059327375,19999.0,2,49.0,49,49,0.0,49.0
399574476190542e4884a4f89e50663f3367e01d6982319c6cf2cb8d244c246c,1,1000001.0,1000001,1000001,,1000001.0,1,12499.0,12499,12499,,12499.0,1,149.0,149,149,,149.0
399cfc42a7fbb103532f9785f49d4792ab50988e97c6c07de88936bf49207a02,1,75000.0,75000,75000,,75000.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
39b456df96e993658bdeed4afbfefdfae95670ad55f0fed566f7a593cc1b6c92,1,75000.0,75000,75000,,75000.0,1,137499.0,137499,137499,,137499.0,1,1749.0,1749,1749,,1749.0
39b6825addce7f32437e48a937627dd08b0c61acdb1922a84f9dd5eeb66f8645,1,750000.0,750000,750000,,750000.0,1,17499.0,17499,17499,,17499.0,1,149.0,149,149,,149.0
39bf6badcb260ee69d2e9241e0e53c2fec41b634fcd2bfb6d16a6b8b6c940bc9,1,1000001.0,1000001,1000001,,1000001.0,1,3499.0,3499,3499,,3499.0,1,49.0,49,49,,49.0
39d07e14e500da399d31207cd8b4e20df706c499602b95245d2c1e67e457d656,397,885547.2720403023,550,1000001,269918.3201772896,1000001.0,397,4868.017632241814,499,274999,16020.44061400497,499.0,397,172.80352644836273,49,6499,428.84492698605425,49.0
39d8ccb1ede0eb9051f9c6a47ff2e11bbf2c3573476983b8a7ffa126f15b38d1,12,50250.0,3000,75000,26897.532837181792,52500.0,12,12915.666666666666,499,37499,15928.581134856204,1999.0,12,1074.0,49,3249,1371.2137954116683,149.0
39e835b959179c6b08ebe838069c047688d2fdbdfe3f84986606bde5b97040a4,4,300000.0,300000,300000,0.0,300000.0,4,104749.0,6499,224999,91393.38050427941,93749.0,4,2936.5,49,7499,3326.753923371349,2099.0
39ec3745981713e9ef8d58bd6622cf4639172dc56154454e25a2f4aa57672c4e,87,33609.2183908046,550,1000001,149620.38799050247,3000.0,87,10050.724137931034,499,112499,22047.653791060333,1499.0,87,400.7241379310345,49,2249,615.4714715708293,49.0
39ffa9b8f4e08f889eb9750af2278bf0af2983d7889afd23ba1e402098fab440,32,408923.78125,550,1000001,442352.58957494557,75000.0,32,19920.875,499,54999,15106.668776810397,17499.0,32,136.5,49,449,109.98533626601495,149.0
3a03a2bb9b804beac72612594156b634dbf5dbdb9a400ed4ba860a95b8c8f3cd,2,165000.0,30000,300000,190918.83092036782,165000.0,2,499.0,499,499,0.0,499.0,2,49.0,49,49,0.0,49.0
3a06345956ae154448609e2ba9d38e7fd5b0400f3b77420288b9a856645a4606,15,30000.0,30000,30000,0.0,30000.0,15,23632.333333333332,499,162499,41984.46424685253,5499.0,15,355.6666666666667,49,2249,575.0362307426086,149.0
3a0b15b5baa9c25e3e037dee9e2847991b8ae3a10b16e56a154f643211dd5661,8,300000.0,300000,300000,0.0,300000.0,8,47811.5,22499,74999,17343.04615688951,54999.0,8,324.0,149,749,183.22507626258087,249.0
3a11356fcb672ba370841ae57fe55a4b90d8d17975f9bcee3eba8bafad63b92d,2,300000.0,300000,300000,0.0,300000.0,2,15999.0,9499,22499,9192.388155425118,15999.0,2,149.0,49,249,141.4213562373095,149.0
3a15df2e9af6fd9b9e6ce65df360ed8b7b26bf2c3e809c5dfbe1de4fea532042,27,648796.4814814815,7500,1000001,324500.8380735142,750000.0,27,5424.925925925926,499,32499,7775.335391855485,1499.0,27,123.07407407407408,49,1249,231.37148383662912,49.0
3a19e37d3eeb7ad9c4e56e08eef4aa17c5a463b357b311f8b996f7dc05697eb3,279,906282.1326164874,7500,1000001,213231.92580001155,1000001.0,279,55966.74551971326,499,1000000,119413.59414531164,499.0,279,746.1326164874552,49,17499,2169.4889711677874,49.0
3a284367bc9f8768265b26bc99fe4ef7fe97a9635ff612e3901f769f9a52a5a3,1,750000.0,750000,750000,,750000.0,1,3499.0,3499,3499,,3499.0,1,49.0,49,49,,49.0
3a2c997fd71a61d769f05ef1743b25528c3f2f585572a687e7b2477095129cd3,3,1000001.0,1000001,1000001,0.0,1000001.0,3,832.3333333333334,499,1499,577.3502691896257,499.0,3,49.0,49,49,0.0,49.0
3a433e34f7b2be61b34635bf65bddb76f3bcff8bed6efaa2713255ab87e64110,3,1000001.0,1000001,1000001,0.0,1000001.0,3,499.0,499,499,0.0,499.0,3,49.0,49,49,0.0,49.0
3a5187e39f7ff937a7710182dde7b2df7b4df68b0088bc03367b3f207527788b,1,30000.0,30000,30000,,30000.0,1,4499.0,4499,4499,,4499.0,1,149.0,149,149,,149.0
3a5edf23ad8063da5bd1b528cdbd7988b2c2fafdfc748bfdce02c4f0ae7c4c1b,8,215625.0,7500,750000,257032.34232290692,165000.0,8,4124.0,499,9499,3543.1019500674024,3499.0,8,99.0,49,149,53.45224838248488,99.0
3a62afa06cc89e9ff016284542c7b8e5ec3a4d4d5f376f17978595816d6879ea,2,300000.0,300000,300000,0.0,300000.0,2,2999.0,1499,4499,2121.3203435596424,2999.0,2,49.0,49,49,0.0,49.0
3a8111df405b5015a6df00161df10af305c7ff0b03d3f7163ecf14488e1bb046,4,232500.0,30000,300000,135000.0,300000.0,4,36499.0,8499,54999,22726.636354727023,41249.0,4,474.0,149,749,275.3785273643051,499.0
3a82191bb162182dad1bf5cf529bd61d494f898a132e339918403386d80f1954,8,750000.0,750000,750000,0.0,750000.0,8,8874.0,2499,12499,4405.7592178549985,10499.0,8,49.0,49,49,0.0,49.0
3a842ce79eede9b9e7ae59754eeaab7195a27925ce3750c9fcfdd3a840998043,1,550.0,550,550,,550.0,1,12499.0,12499,12499,,12499.0,1,349.0,349,349,,349.0
3a8619a1f94322ea546274635d3f2055a0fb1d2e4064fc81db5bbdcbf60c5574,2,30000.0,30000,30000,0.0,30000.0,2,224999.0,224999,224999,0.0,224999.0,2,1249.0,1249,1249,0.0,1249.0
3a86237073c93475afed6e20eed26ec6f786c7b247223f5f6d9e60a72d2789bf,1,1000001.0,1000001,1000001,,1000001.0,1,162499.0,162499,162499,,162499.0,1,1249.0,1249,1249,,1249.0
3a90af4747e557cbb752b0041b28a61706146bd4aa54aa619f18dbcb0e00de56,1,750000.0,750000,750000,,750000.0,1,22499.0,22499,22499,,22499.0,1,1249.0,1249,1249,,1249.0
3a9c912b11123e1aa209bac738e11fe87a453acd137c701a786951a1df8486e7,12,1000001.0,1000001,1000001,0.0,1000001.0,12,16415.666666666668,2499,27499,6907.944482239052,17499.0,12,49.0,49,49,0.0,49.0
3aa3255f169297d503277e8fb1800714c2f7ca287e798fb9b61594b3159ce111,684,670344.1125730994,7500,1000001,409270.0134418957,1000001.0,684,2933.941520467836,499,162499,10874.658904642904,499.0,684,143.15204678362574,49,4749,426.5298160998347,49.0
3aab1840c9e9e3c64823b9b1ef01d359bee44ef8e7dcd6ac15f0fb563cc2ae7d,4,30000.0,30000,30000,0.0,30000.0,4,29624.0,6499,74999,31639.57174172874,18499.0,4,474.0,49,1249,543.9056290693574,299.0
3aafedd78510df71f868e6021ff2fe4f054eda234ec2c6db6bd91b0b64077159,10,217000.1,7500,1000001,362788.05658414395,30000.0,10,80349.0,1499,474999,140509.9937133773,37499.0,10,349.0,49,1749,498.88765156985886,199.0
3ab97e62d5b9261524a41e131cafbfba385aa04862edac5fd8955882c6d3c608,2,1000001.0,1000001,1000001,0.0,1000001.0,2,16499.0,5499,27499,15556.349186104046,16499.0,2,49.0,49,49,0.0,49.0
3ac83f09861b8fa5becda499f6b9d7cae2c0acd89056b699c3213016433f9a4a,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
3acc865241a5676790f9e755d39ba5abea7740100cfb3ce61c7dec65e5a060b2,4,1000001.0,1000001,1000001,0.0,1000001.0,4,62624.0,5499,137499,57533.14262231814,53749.0,4,274.0,149,349,95.74271077563381,299.0
3ad0fe3b3fc69f5f548af7f25c5321b14755595ce56e65a227eba3420b54049d,3,1000001.0,1000001,1000001,0.0,1000001.0,3,4832.333333333333,499,12499,6658.328118479393,1499.0,3,82.33333333333333,49,149,57.735026918962575,49.0
3adfca046d2ddb4413abd9cbc0a339f954197fbc6a5a311a43c6370348843f85,1,1000001.0,1000001,1000001,,1000001.0,1,1499.0,1499,1499,,1499.0,1,49.0,49,49,,49.0
3ae88920234f42176ff5d703d8e0edd3452e8f830ed66024a2aae74862423d0b,3,261000.0,3000,750000,423701.5459023014,30000.0,3,2165.6666666666665,499,4499,2081.6659994661327,1499.0,3,49.0,49,49,0.0,49.0
3afa60a78b64be2e3d773f309673d877e40f49ed314633bddec27ad9e56d3935,3,1000001.0,1000001,1000001,0.0,1000001.0,3,236499.0,9499,474999,232962.97989165573,224999.0,3,3015.6666666666665,49,4749,2581.3433195399125,4249.0
3b1800800790d161b470851f33c08ae161657814f709c06b870c1829de74a2e5,7,300000.0,300000,300000,0.0,300000.0,7,17641.85714285714,499,42499,15560.940111151935,12499.0,7,249.0,49,649,216.02468994692867,149.0
3b1da06ab10c94e357d5fee885a6c5b352eb393b37e662a85e58bc2d00aab812,3,676667.3333333334,30000,1000001,560030.3384642062,1000001.0,3,10499.0,499,22499,11135.528725660044,8499.0,3,49.0,49,49,0.0,49.0
3b236f30d14506e7ad611a404fe42f83ffb6bbf1b8e14c4882147f5af2ec81ea,4,750000.0,750000,750000,0.0,750000.0,4,23624.0,9499,54999,21175.359107541324,14999.0,4,524.0,149,1249,499.1659710623979,349.0
3b2d0f60b70c2d883d24da5ee4e50ba789456127a911c12174010d8f2ca2f0fc,1,1000001.0,1000001,1000001,,1000001.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
3b38b5cab1f211ed11f35b4df8ef80c1ee83dc54918d712a1e95b241f5cb7550,3,750000.0,750000,750000,0.0,750000.0,3,6499.0,3499,9499,3000.0,6499.0,3,49.0,49,49,0.0,49.0
3b3a90495d29acfaf0dabcd3b9bdac87361d4baced467b68911ae5648744e243,26,149423.07692307694,30000,300000,112368.38454900846,75000.0,26,32825.92307692308,499,274999,62416.334770265436,12499.0,26,229.76923076923077,49,3249,632.4676945231153,49.0
3b5f903dfe2dafc388c67d05214a32d978c1e5cac632067b5d9b379d530d5a0c,4,1000001.0,1000001,1000001,0.0,1000001.0,4,749.0,499,1499,500.0,499.0,4,49.0,49,49,0.0,49.0
3b67d7a7ab5a0eda95695459b5208449ae784bc7310e9aea69aa302f4ffb1136,2,1000001.0,1000001,1000001,0.0,1000001.0,2,18499.0,4499,32499,19798.98987322333,18499.0,2,99.0,49,149,70.71067811865476,99.0
3b7aee4c62ee74b745b3fad2c882ded64f447e016659cff6e2d2dcf7a7e49011,8,875069.625,550,1000001,353359.2897818381,1000001.0,8,28749.0,17499,37499,7440.2380914284495,29999.0,8,499.0,349,549,75.59289460184546,549.0
3b887f6792ae9fa35d8b5d26437bcc59ba89f0272034a580819fc89d0fe2e6bb,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
3b8bac14566fc066fc1cd70214c9edebc97b1f8ad96732be7e50890dbd7db5cf,4,1000001.0,1000001,1000001,0.0,1000001.0,4,5999.0,1499,12499,5066.228051190222,4999.0,4,49.0,49,49,0.0,49.0
3b9ecc0b44036eef5308e64132786a3aae7d266455240ef86dfa50854fa63fbe,10,148555.0,550,300000,132492.94415175472,75000.0,10,2699.0,499,5499,2201.0098692292236,2499.0,10,99.0,49,149,52.70462766947299,99.0
3bb01a65e4abe73f47e61ca570fe1ab2c482223dcd5493e722c9a1e42f9834a6,1,300000.0,300000,300000,,300000.0,1,1499.0,1499,1499,,1499.0,1,49.0,49,49,,49.0
3bbed092b55b5d02e51755059291ba6788f50f8d68a19970b1ef37630f40c32f,1,0.0,0,0,,0.0,1,12499.0,12499,12499,,12499.0,1,349.0,349,349,,349.0
3bc62c2a6f357e725fb4c4159c5898050c7aae52caadf5816ec297022e202456,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
3bd2191e15fd45d4db836b8f3c72b3433ffd0d2424e8f7159e5ce18958c1d29d,2,52500.0,30000,75000,31819.80515339464,52500.0,2,112499.0,112499,112499,0.0,112499.0,2,1749.0,1749,1749,0.0,1749.0
3bd22d19149c16d5d981cc1ae006334719fc8831e5a2cdf49307920c27d8d25b,1,750000.0,750000,750000,,750000.0,1,22499.0,22499,22499,,22499.0,1,349.0,349,349,,349.0
3bd656d1f631142286f9ed7ca686542d559a1b6c2eb258fe57beb07dd43d6bb1,1,1000001.0,1000001,1000001,,1000001.0,1,3499.0,3499,3499,,3499.0,1,49.0,49,49,,49.0
3bf30f06f597c03822a98fa7154a74a56ce09e7e16da672cf21bb9c9b58a1335,3,150000.0,75000,300000,129903.8105676658,75000.0,3,1499.0,499,2499,1000.0,1499.0,3,49.0,49,49,0.0,49.0
3c39b35f10d0e45d46170433ea744a9e903a6fdce5887aba2ac27ebd7a86a49a,4,825000.75,300000,1000001,350000.5,1000001.0,4,220874.0,499,849999,419687.8552368812,16499.0,4,899.0,49,3249,1569.5009822658071,149.0
3c4a7b8dc52436bccd2d5c61450d3e6d114c1aa8602985d6cc659b7616afc1ca,1,7500.0,7500,7500,,7500.0,1,2499.0,2499,2499,,2499.0,1,49.0,49,49,,49.0
3c51fdd55b78a0375200db01fdff742732ee6cc392aefe1271eebf893ad0bca3,2,30000.0,30000,30000,0.0,30000.0,2,7499.0,5499,9499,2828.42712474619,7499.0,2,349.0,249,449,141.4213562373095,349.0
3c54efa7df68699063eb3a3cc7056d71a7ab6d4adfc53b8545a55b0d88672aba,2,39000.0,3000,75000,50911.68824543142,39000.0,2,4499.0,3499,5499,1414.213562373095,4499.0,2,49.0,49,49,0.0,49.0
3c65ccd85415423d263c4754f44de056f75080755ee0a4b9c0b5a230a9849263,2,18750.0,7500,30000,15909.90257669732,18750.0,2,10499.0,8499,12499,2828.42712474619,10499.0,2,199.0,149,249,70.71067811865476,199.0
3c68d95279b057f58290bd55acae04c12a2ce44aa32292ff264cdd780cc85647,3,766667.3333333334,300000,1000001,404145.76578300726,1000001.0,3,19165.666666666668,2499,42499,20816.659994661328,12499.0,3,215.66666666666666,49,449,208.16659994661327,149.0
3c8d95f3fbf3e6a80a83a3dfecb1efb84b0eb7db7a8e0917c7c3f67a52f84e39,2,0.0,0,0,0.0,0.0,2,499.0,499,499,0.0,499.0,2,49.0,49,49,0.0,49.0
3c9ab1f1b6b71a5d56c90ae1f89e95be0cea112d91789b528582dfabc2f0ea55,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,349.0,349,349,,349.0
3cc46470637b35a7474bd39bc530ec8c934443afdabf80610f62cbea857ef601,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
3ccb913058c93fd753b790a6a77155988daaa52ccf9065a2187bd1dd0feb4b97,26,68801.92307692308,550,300000,103467.54030203793,30000.0,26,2575.923076923077,499,27499,5388.306427240952,499.0,26,83.61538461538461,49,949,176.50452162436562,49.0
3ccffc258de4d9bff1ee6d2ee67116c585b1093f38fca79eb80dc0168739ed5a,4,768750.75,75000,1000001,462500.5,1000001.0,4,22749.0,8499,32499,11842.71928232701,24999.0,4,49.0,49,49,0.0,49.0
3cfabfaebb2cee70705a4e72158532f8145e7fcc5282b71cd6c6e126650c1629,57,422807.0350877193,300000,1000001,209819.31136354,300000.0,57,83735.84210526316,499,849999,154637.71327984985,22499.0,57,1821.8070175438597,49,17499,3379.2046583193232,549.0
3d0460307bf7f03d6c19788f7e46ec2660e6c0c1de42648bd30606eb1c3dc1e4,2,1000001.0,1000001,1000001,0.0,1000001.0,2,3999.0,1499,6499,3535.5339059327375,3999.0,2,99.0,49,149,70.71067811865476,99.0
3d1b6a26bd561bc97232485bc89f91034219f8fd56c701a55f523ff0141fe8e9,10,1000001.0,1000001,1000001,0.0,1000001.0,10,15249.0,499,54999,17459.87463363418,12999.0,10,49.0,49,49,0.0,49.0
3d21f0d3da5bb33ef698b2621dcfcc58917438e7df6d03bcb3471ba550bec96b,5,1000001.0,1000001,1000001,0.0,1000001.0,5,423999.2,17499,1000000,438836.1459590584,324999.0,5,3219.0,49,12499,5256.852670562492,1749.0
3d289066fb46bc2054c2793762f1b1be01b6fe985787719be2f24c5936b92f8b,3,75000.0,75000,75000,0.0,75000.0,3,22165.666666666668,6499,47499,22143.471573656498,12499.0,3,315.6666666666667,149,649,288.67513459481285,149.0
3d36bde0dc52f7775629993cb5eb7a1d2dd4bf62339ba724b03b10a003090376,1,1000001.0,1000001,1000001,,1000001.0,1,32499.0,32499,32499,,32499.0,1,349.0,349,349,,349.0
3d3703bc7c748a01147153ebdd460c62dc2eef3f78c6784fda545405fea85b22,1,75000.0,75000,75000,,75000.0,1,1499.0,1499,1499,,1499.0,1,49.0,49,49,,49.0
3d39b99db782ae86db4f0cfd04bf5fd3061f111782cbc32e538557468614bf72,5,15600.0,3000,30000,13273.093083377364,7500.0,5,9499.0,499,17499,7713.624310270756,7499.0,5,109.0,49,149,54.772255750516614,149.0
3d46bbeb2aa978c5f34cda060dc1f357ae2e552a1ae58bdc5953bc8f0b4221bb,254,524704.7480314961,75000,1000001,240783.54110592644,300000.0,254,19058.055118110235,499,274999,44717.60819742191,3499.0,254,439.3543307086614,49,7499,920.8259484360691,49.0
3d4ec123389d8eff0924ee25493d13e3e9d75455c91c4e3ea2424c0c4f2d2921,1,1000001.0,1000001,1000001,,1000001.0,1,9499.0,9499,9499,,9499.0,1,49.0,49,49,,49.0
3d5cbc640918d9df913a1db78bf99047b403158a02a0c21ebb1cbd1a8f5a73bd,1,1000001.0,1000001,1000001,,1000001.0,1,32499.0,32499,32499,,32499.0,1,249.0,249,249,,249.0
3d6289d410689c2a172662a9e17680f616b725534cb85843fd4e787ac4d99376,19,1000001.0,1000001,1000001,0.0,1000001.0,19,3341.1052631578946,499,27499,6525.702668804136,499.0,19,80.57894736842105,49,349,82.00698871944032,49.0
3d71baf4a2e1d3d3e0c8932cec633f57ef00965322525b31e9c61a47c142b050,1,1000001.0,1000001,1000001,,1000001.0,1,3499.0,3499,3499,,3499.0,1,49.0,49,49,,49.0
