,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_audience_size,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_impressions,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend,estimated_spend
,count,mean,min,max,std,median,count,mean,min,max,std,median,count,mean,min,max,std,median
page_id,,,,,,,,,,,,,,,,,,
0127cfa53b54ce66753cdd3198e223793ffffd2f59b791a45854d7aa28635eef,8,251025.25,550,1000001,462279.1056897955,1775.0,8,11624.0,499,47499,20642.795353343015,499.0,8,74.0,49,149,46.29100498862757,49.0
01326c66f2ab16caa5ba058a1effd66b05f20a6062c8b21d00d82e247ba713c2,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
018c7e496b5c4c77464f465002f09bac3d57225dbb47bc301d0db6e82e6ec7cf,155,1000001.0,1000001,1000001,0.0,1000001.0,155,1492.5483870967741,499,32499,3195.9730631992875,499.0,155,61.25806451612903,49,549,55.050724980738444,49.0
019450077abcba5307224d8f4092c41ba4ff595dae5d326578e7915995055804,5,810000.6,300000,1000001,304959.48091558,1000001.0,5,16099.0,4499,32499,11349.008767288886,12499.0,5,229.0,49,449,204.93901531919198,149.0
01b5bff8391f61eb62c6ab94f7dcd62f08698526b177d2538401edd299bdc037,25,1000001.0,1000001,1000001,0.0,1000001.0,25,8839.0,499,54999,12542.195448431932,3499.0,25,49.0,49,49,0.0,49.0
01b750b0050ed326f3430eafe358e74ca4a39980ca99293e99ee63397612c89f,8,1000001.0,1000001,1000001,0.0,1000001.0,8,11749.0,9499,12499,1388.730149658827,12499.0,8,149.0,149,149,0.0,149.0
01b89957590f09cf2f1dc37eebd53b3c828ae0d27bbec3fea417ef8aac0f3241,5,950000.8,750000,1000001,111803.84608858499,1000001.0,5,6499.0,499,12499,4949.747468305833,7499.0,5,89.0,49,149,54.772255750516614,49.0
01e24735d61e6b6b7c581fac95ce5327048c3e40bfe146d0dda8005b41e8da02,3,22500.0,7500,30000,12990.38105676658,30000.0,3,15499.0,2499,37499,19157.244060668017,6499.0,3,282.3333333333333,49,649,321.4550253664318,149.0
01fdd3488e7aa51f7c30e7d7deee074bd38213def657abf30abe22b688b97a40,3,1000001.0,1000001,1000001,0.0,1000001.0,3,2499.0,2499,2499,0.0,2499.0,3,49.0,49,49,0.0,49.0
020dfa95e1f29b7289c10eda9576b2b05c2fa472f0d6284aa8eb48f6d1531075,1,75000.0,75000,75000,,75000.0,1,6499.0,6499,6499,,6499.0,1,49.0,49,49,,49.0
02210abe605da4ec15d021fe8d199bd2fa7715ee261527f0a30dea9059b5a8da,2,7500.0,7500,7500,0.0,7500.0,2,10999.0,4499,17499,9192.388155425118,10999.0,2,99.0,49,149,70.71067811865476,99.0
0228cfce01c7fba48ee9e31a057ace3f4474ff5cebf4733613d46cbf61c75492,9,65000.0,30000,75000,19843.13483298443,75000.0,9,20443.444444444445,499,74999,22285.70792633202,12499.0,9,415.6666666666667,49,1749,514.78150704935,249.0
0236c8780cd232bb53a47b288d040bbb203d008eb6171c75d0579ca573405c27,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
023cb2dd442c0affdddaea8703c60cb967d7e78e4217de2fb16016b0e8473f17,3,676667.3333333334,30000,1000001,560030.3384642062,1000001.0,3,2165.6666666666665,499,5499,2886.751345948129,499.0,3,49.0,49,49,0.0,49.0
024953ab83713b32819916d25300f1e9c45b3e4912c6d1a4527ce4d8c301d562,1,300000.0,300000,300000,,300000.0,1,2499.0,2499,2499,,2499.0,1,49.0,49,49,,49.0
025b502327fa56263c8dc4255275d4f0520a9bffc93718e7256c3ac70ab3f6ab,1,3000.0,3000,3000,,3000.0,1,5499.0,5499,5499,,5499.0,1,249.0,249,249,,249.0
025d6e3a0b4b129f263e37593d198caa31f97df4a426febf12bd6ea9714ef5e3,4,41250.0,30000,75000,22500.0,30000.0,4,9499.0,3499,12499,4242.640687119285,10999.0,4,224.0,49,449,170.78251276599332,199.0
0272f92d8014f32f2f6c3fce05816e9b4baba1ef0291a46a109e28132ac860a2,8,1000001.0,1000001,1000001,0.0,1000001.0,8,151874.0,12499,324999,100674.06745107131,124999.0,8,2055.25,149,6499,2156.7895287738606,1499.0
029ac119174cf8555f612b548c31fcc846dffa23854a833f3b15635248448aab,14,184285.7142857143,30000,300000,138659.1995735358,300000.0,14,144641.85714285713,17499,849999,209346.18261583892,98749.0,14,2656.1428571428573,549,9499,2425.890569449714,1999.0
02a7b513726870d003145ee131123eaa8d7a486b14b58b92b1fce9e84382e7e6,4,825000.75,300000,1000001,350000.5,1000001.0,4,111874.0,27499,224999,97945.03135262485,97499.0,4,724.0,449,1249,359.3976442141304,599.0
02b063e1bfcc1b034d1dc775985ec24c4be01b5c118150ddf7b29881c0abfa3b,1,7500.0,7500,7500,,7500.0,1,1499.0,1499,1499,,1499.0,1,49.0,49,49,,49.0
02b288bb9427fda8494f8b0d332ec738094d1b79eac8bdbc7445a720ad514083,1,1000001.0,1000001,1000001,,1000001.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
02b603c3045ebfcd51bda7726f3afb3e72b5fb6195559c52e35f4eaff4636811,3,60000.0,30000,75000,25980.76211353316,75000.0,3,25832.333333333332,22499,27499,2886.7513459481293,27499.0,3,782.3333333333334,649,849,115.47005383792515,849.0
02d3951d8d303eaeaff9b245541314ae46c08986c8e3040806d2e0cba072b3df,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
03304f9002f294d0db5f77a50e79846b1d848c6056c3a28b6f615468fb87a2b6,7,928572.1428571428,750000,1000001,121987.99706860313,1000001.0,7,1499.0,499,3499,1154.7005383792514,1499.0,7,49.0,49,49,0.0,49.0
0338e785d6fa46a5042402331faabde8eb480b2ee34af78033600e99a5365534,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
0341a6bcb3d2268682a6845272e7735ab2f1977da7c4be956728bd879dd17de3,1,1000001.0,1000001,1000001,,1000001.0,1,8499.0,8499,8499,,8499.0,1,49.0,49,49,,49.0
0344eb8d9eb67224fb3ae91ed434c5724d81d2bdaf3d9657d133db876f3e3d87,1,750000.0,750000,750000,,750000.0,1,3499.0,3499,3499,,3499.0,1,49.0,49,49,,49.0
034600fe34b9b8a7651c12f9e3253510ab3b81eb3c76a19f57e38955571765d4,17,30505.882352941175,550,75000,24140.22112026512,30000.0,17,3440.176470588235,499,12499,3596.362541431518,2499.0,17,90.17647058823529,49,349,100.36697371030327,49.0
0348d3ed118c2845e08174d509ef13c85e1440ce137fb6c77a9ce618c4b816a2,2,750000.0,750000,750000,0.0,750000.0,2,1999.0,1499,2499,707.1067811865476,1999.0,2,49.0,49,49,0.0,49.0
03492a04f14f8b6180390b8b70d44c80cc9f268fa7d09ccb11496cf47240d83f,37,1000001.0,1000001,1000001,0.0,1000001.0,37,191120.64864864864,499,1000000,239953.3704968317,84999.0,37,1127.3783783783783,49,4749,1384.4644241517158,549.0
034e0ec8c22c2fa4975a550f295be2672bc66eaed4c65ab652fe85e8e12f2ff5,4,500000.5,0,1000001,577350.8465398949,500000.5,4,11249.0,1499,27499,11842.71928232701,7999.0,4,174.0,49,349,150.0,149.0
0356a106a263b0c73e3d07eebe8c818b76c377b4e1e8a67b17ccec8790227b30,1,75000.0,75000,75000,,75000.0,1,94999.0,94999,94999,,94999.0,1,1249.0,1249,1249,,1249.0
03573ed207a810973e2ee28e5b3f9a4d5d1737529d651d88d805628a356adc64,6,441758.5,550,1000001,363757.8503805794,300000.0,6,5665.666666666667,2499,9499,2714.1603981096378,4499.0,6,115.66666666666667,49,149,51.63977794943223,149.0
036b44a8c2d3354c99da5e6dfe4efc2d6a87c40b91fff9cd75935ec639f1d802,6,335333.6666666667,3000,1000001,514849.1025536188,3000.0,6,31332.333333333332,499,137499,54484.55438623562,2999.0,6,232.33333333333334,49,649,231.66067138525406,149.0
0389bd549a290436965fb571302e5f4bfa3d7bd9ff1fca0bc0cd555a70998ce4,1,300000.0,300000,300000,,300000.0,1,8499.0,8499,8499,,8499.0,1,49.0,49,49,,49.0
039314f36f2a642847d2a07b94f0b988b31c3321ca9f5ee244cfb11b94e2a487,1,1000001.0,1000001,1000001,,1000001.0,1,4499.0,4499,4499,,4499.0,1,49.0,49,49,,49.0
039655b7cbda2f0f7448bb7a805839440d3c73ecf2cdf1cb828f091201be383e,1,300000.0,300000,300000,,300000.0,1,2499.0,2499,2499,,2499.0,1,149.0,149,149,,149.0
03a0f740cc5776ef93ad6b687d4d9529fc898547613ea2c9bcf5d6417845e38f,3,383333.6666666667,75000,1000001,534049.576350673,75000.0,3,4832.333333333333,1499,7499,3055.050463303893,5499.0,3,49.0,49,49,0.0,49.0
03abde6234c0de5bab0cd35a07749c8f07a9a6529166e1df8864cad8b0e65860,8,120000.0,30000,300000,112820.97069504157,75000.0,8,45374.0,499,137499,49768.571551589805,27499.0,8,1474.0,49,3249,1419.003674615196,1299.0
03bb6944c0b0f7ac7d993bc10206ab152d150c0a8687727b17c97a753c5cf613,1,1000001.0,1000001,1000001,,1000001.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
03c1884d16126adff10c7a3937b37413d29f4160f8e22feca9cc94f0721ac22d,1,1000001.0,1000001,1000001,,1000001.0,1,2499.0,2499,2499,,2499.0,1,49.0,49,49,,49.0
03c572f90cd7966e058fe4eb5dc5159a8e5c3a910148e819796515eda7e5821b,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
03cbf000a6f318065729374bbfa37141d7b7523e02f87afdcdecb3db663e2338,3,1000001.0,1000001,1000001,0.0,1000001.0,3,4832.333333333333,499,12499,6658.328118479392,1499.0,3,49.0,49,49,0.0,49.0
03f2dff8080dbdc53537e262d9bb0ce5015470234dc1f28c6ba30e2a92cc272f,2,30000.0,30000,30000,0.0,30000.0,2,1499.0,499,2499,1414.213562373095,1499.0,2,49.0,49,49,0.0,49.0
03f8aff13987e5121b65139862e434824b8811b0b2b0d5a9584d2450c0a1a8a4,1,1000001.0,1000001,1000001,,1000001.0,1,3499.0,3499,3499,,3499.0,1,49.0,49,49,,49.0
03fc560b14533bf2bc882c7a965646c9efe8ee33a6fbb018df9d479bed824d02,50,1000001.0,1000001,1000001,0.0,1000001.0,50,200579.02,499,1000000,287042.06755765795,47499.0,50,2153.0,49,17499,3776.1312671752794,299.0
0409ef72aad4d2f09b8847b0464b12e5273e4974be798a5394a69ad7e38422ff,1,7500.0,7500,7500,,7500.0,1,12499.0,12499,12499,,12499.0,1,249.0,249,249,,249.0
0422d61070e4ba0f6b223445ea22537f6f825784a6b386b26b3d6ae1744a3d25,12,59762.5,550,300000,112823.26509956743,7500.0,12,1749.0,499,4499,1544.7859516333117,1499.0,12,57.333333333333336,49,149,28.86751345948129,49.0
042eea8d81867980cdfae20502dc06f69bd33a0ac4786d3aa79617084ea10fad,2,300000.0,300000,300000,0.0,300000.0,2,74999.0,54999,94999,28284.2712474619,74999.0,2,549.0,549,549,0.0,549.0
043671ff40dd293d7fda51e3118a5f7e1ec6ee05b4dd70a99b3e87eecfbfcf1a,6,0.0,0,0,0.0,0.0,6,499.0,499,499,0.0,499.0,6,49.0,49,49,0.0,49.0
043f480c9e6e21b918a918d34c618281880bb6c0bf980b7cdbec9ddec30e182c,1,0.0,0,0,,0.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
04427b2c166d865c7b74a49754f7c1ad3ac55efa599c27d4fd022f2f80f99a2e,277,758506.1010830324,3000,1000001,376745.07493140426,1000001.0,277,12378.06498194946,499,1000000,74339.13363179719,499.0,277,441.59927797833933,49,32499,2657.23467496297,49.0
0460d29cd0bc19e53d8144a6afe394ab4c8f6257d778a7d9e332da6d6b386779,1,75000.0,75000,75000,,75000.0,1,54999.0,54999,54999,,54999.0,1,849.0,849,849,,849.0
047380690d7f40ea8086a499225aff8142d1708b3d67117c7af9ded501417081,1,30000.0,30000,30000,,30000.0,1,112499.0,112499,112499,,112499.0,1,1249.0,1249,1249,,1249.0
0476f45012eced7937b9a24dc239eec27addf352b783adf2ecb961000d04c1f5,1,300000.0,300000,300000,,300000.0,1,12499.0,12499,12499,,12499.0,1,149.0,149,149,,149.0
048f6e4a39fa1b3094c28b913636c2a77b704f2376036b605d84301b0d9a7a9e,1,1000001.0,1000001,1000001,,1000001.0,1,6499.0,6499,6499,,6499.0,1,49.0,49,49,,49.0
04b6c8e93aa1d55bb2892cb3140abe806f5904f6b2062284ec5e60315d480a03,1,30000.0,30000,30000,,30000.0,1,9499.0,9499,9499,,9499.0,1,149.0,149,149,,149.0
04cddd2ba2c18437ea38045fbed6a522c7ed85a500cd0f37fcd8897fda2745f0,1,1000001.0,1000001,1000001,,1000001.0,1,499.0,499,499,,499.0,1,49.0,49,49,,49.0
04d091d90adc9f527302554f068053c794711c053964d966d3c183b91bcc8a24,1,7500.0,7500,7500,,7500.0,1,17499.0,17499,17499,,17499.0,1,249.0,249,249,,249.0
04d77bc0bc511b70d056aeaf825d65d51dd09c19ab255428348273f2c28c385a,2,650000.5,300000,1000001,494975.45393736445,650000.5,2,999.0,499,1499,707.1067811865476,999.0,2,49.0,49,49,0.0,49.0
04df4069408580c1b41901cd7549d4a468d1e36db738bd1c487b245b130e90a9,458,792474.5218340611,3000,1000001,369472.6816857946,1000001.0,458,23761.015283842793,499,1000000,104544.15394165347,499.0,458,490.0480349344978,49,54999,3116.2078231100572,49.0
04eb44de93c0fbf87b52db088e0a9428378ede80f14f0de71f9b4dfe96d6e428,1,750000.0,750000,750000,,750000.0,1,17499.0,17499,17499,,17499.0,1,149.0,149,149,,149.0
0505a279eecc6c34ae692e0248e462279952f737474b36d63bd7ceefe05139cc,5,13310.0,550,30000,15268.611593723903,3000.0,5,7099.0,3499,12499,3781.5340802378073,7499.0,5,189.0,149,249,54.77225575051661,149.0
050934f9c90207fd3f068267370d191e5b196717ea81dcecef893813fcacf27f,1,30000.0,30000,30000,,30000.0,1,37499.0,37499,37499,,37499.0,1,449.0,449,449,,449.0
